video_id,detected_objects_withconfidence
10051,cat:1.0|tvmonitor:0.875|microwave:0.75|diningtable:0.625|bird:0.5|person:0.375|chair:0.25|laptop:0.125
10052,cat:1.0|tvmonitor:0.875|microwave:0.75|diningtable:0.625|bird:0.5|person:0.375|chair:0.25|laptop:0.125
10053,cat:1.0|tvmonitor:0.875|microwave:0.75|diningtable:0.625|bird:0.5|person:0.375|chair:0.25|laptop:0.125
10054,cat:1.0|tvmonitor:0.875|microwave:0.75|diningtable:0.625|bird:0.5|person:0.375|chair:0.25|laptop:0.125
10055,cat:1.0|tvmonitor:0.875|microwave:0.75|diningtable:0.625|bird:0.5|person:0.375|chair:0.25|laptop:0.125
10056,bus:1.0|car:0.9285714285714286|cell phone:0.8571428571428571|truck:0.7857142857142857|train:0.7142857142857143|chair:0.6428571428571429|clock:0.5714285714285714|person:0.5|cat:0.42857142857142855|bird:0.35714285714285715|laptop:0.2857142857142857|microwave:0.21428571428571427|tvmonitor:0.14285714285714285|diningtable:0.07142857142857142
10057,Shirt:0.9|Trousers:1.0|Footwear:0.3|Handbag:0.6|Watch:0.8|Guitar:0.5|Mobile_phone:0.1|Headphones:0.2|Hat:0.4|Sunglasses:0.7
10058,Shirt:0.4|Trousers:0.5|Footwear:0.9|Handbag:0.3|Watch:0.8|Guitar:0.7|Mobile_phone:0.2|Headphones:0.1|Hat:0.6|Sunglasses:1.0
10059,Shirt:0.2|Trousers:0.9|Footwear:0.4|Handbag:0.6|Watch:0.7|Guitar:0.8|Mobile_phone:0.1|Headphones:0.3|Hat:0.5|Sunglasses:1.0
10060,Shirt:0.9|Trousers:0.1|Footwear:0.6|Handbag:0.5|Watch:0.2|Guitar:0.7|Mobile_phone:0.4|Headphones:1.0|Hat:0.8|Sunglasses:0.3
10061,Shirt:1.0|Trousers:0.9|Footwear:0.8|Handbag:0.1|Watch:0.7|Guitar:0.4|Mobile_phone:0.2|Headphones:0.3|Hat:0.5|Sunglasses:0.6
10062,Shirt:0.3|Trousers:0.2|Footwear:0.9|Handbag:0.8|Watch:0.1|Guitar:0.4|Mobile_phone:0.7|Headphones:1.0|Hat:0.5|Sunglasses:0.6
10063,Shirt:0.1|Trousers:1.0|Footwear:0.8|Handbag:0.6|Watch:0.2|Guitar:0.4|Mobile_phone:0.7|Headphones:0.5|Hat:0.9|Sunglasses:0.3
10064,Shirt:0.9|Trousers:0.6|Footwear:0.7|Handbag:0.4|Watch:0.8|Guitar:1.0|Mobile_phone:0.3|Headphones:0.5|Hat:0.2|Sunglasses:0.1
10065,Shirt:1.0|Trousers:0.4|Footwear:0.7|Handbag:0.9|Watch:0.6|Guitar:0.2|Mobile_phone:0.5|Headphones:0.1|Hat:0.8|Sunglasses:0.3
10066,Shirt:0.5|Trousers:0.1|Footwear:0.9|Handbag:0.6|Watch:0.2|Guitar:0.8|Mobile_phone:0.3|Headphones:0.4|Hat:0.7|Sunglasses:1.0
10067,Shirt:0.2|Trousers:0.6|Footwear:1.0|Handbag:0.1|Watch:0.8|Guitar:0.4|Mobile_phone:0.9|Headphones:0.3|Hat:0.5|Sunglasses:0.7
10068,Shirt:0.9|Trousers:0.6|Footwear:1.0|Handbag:0.8|Watch:0.1|Guitar:0.2|Mobile_phone:0.7|Headphones:0.3|Hat:0.5|Sunglasses:0.4
10069,Shirt:0.4|Trousers:0.9|Footwear:0.5|Handbag:0.3|Watch:1.0|Guitar:0.1|Mobile_phone:0.7|Headphones:0.6|Hat:0.2|Sunglasses:0.8
10070,Shirt:0.4|Trousers:0.9|Footwear:1.0|Handbag:0.1|Watch:0.8|Guitar:0.5|Mobile_phone:0.6|Headphones:0.7|Hat:0.3|Sunglasses:0.2
10071,Shirt:0.7|Trousers:0.6|Footwear:0.3|Handbag:0.8|Watch:0.9|Guitar:0.5|Mobile_phone:0.2|Headphones:1.0|Hat:0.1|Sunglasses:0.4
10072,Shirt:0.6|Trousers:0.1|Footwear:0.9|Handbag:1.0|Watch:0.5|Guitar:0.2|Mobile_phone:0.7|Headphones:0.3|Hat:0.4|Sunglasses:0.8
10073,Shirt:1.0|Trousers:0.2|Footwear:0.5|Handbag:0.1|Watch:0.9|Guitar:0.6|Mobile_phone:0.4|Headphones:0.8|Hat:0.3|Sunglasses:0.7
10074,Shirt:0.4|Trousers:0.7|Footwear:0.9|Handbag:0.5|Watch:0.1|Guitar:0.2|Mobile_phone:0.6|Headphones:0.3|Hat:1.0|Sunglasses:0.8
10075,Shirt:0.3|Trousers:0.8|Footwear:0.9|Handbag:0.1|Watch:0.7|Guitar:0.2|Mobile_phone:0.4|Headphones:0.5|Hat:1.0|Sunglasses:0.6
10076,Shirt:0.1|Trousers:0.6|Footwear:0.4|Handbag:0.5|Watch:1.0|Guitar:0.9|Mobile_phone:0.7|Headphones:0.2|Hat:0.3|Sunglasses:0.8
10077,Shirt:0.6|Trousers:0.5|Footwear:0.8|Handbag:0.3|Watch:0.2|Guitar:0.9|Mobile_phone:0.7|Headphones:0.1|Hat:1.0|Sunglasses:0.4
10078,Shirt:0.1|Trousers:0.4|Footwear:0.7|Handbag:0.5|Watch:1.0|Guitar:0.2|Mobile_phone:0.3|Headphones:0.8|Hat:0.6|Sunglasses:0.9
10079,Shirt:0.7|Trousers:0.1|Footwear:0.8|Handbag:0.3|Watch:0.6|Guitar:0.4|Mobile_phone:0.9|Headphones:0.5|Hat:0.2|Sunglasses:1.0
10080,Shirt:0.9|Trousers:0.4|Footwear:1.0|Handbag:0.7|Watch:0.1|Guitar:0.2|Mobile_phone:0.5|Headphones:0.8|Hat:0.6|Sunglasses:0.3
10081,Shirt:1.0|Trousers:0.9|Footwear:0.3|Handbag:0.1|Watch:0.8|Guitar:0.2|Mobile_phone:0.5|Headphones:0.6|Hat:0.4|Sunglasses:0.7
10082,Shirt:0.9|Trousers:0.1|Footwear:0.2|Handbag:0.5|Watch:0.4|Guitar:1.0|Mobile_phone:0.6|Headphones:0.7|Hat:0.8|Sunglasses:0.3
