id,user_id,watched_video_id,watch_time_in_sec
1,8,9195,74
2,8,7331,143
3,7,8403,192
4,7,6903,202
5,8,1758,92
6,7,8615,203
7,8,5730,119
8,8,119,38
9,7,150,148
10,7,3726,284
11,8,3162,297
12,8,258,221
13,7,7378,88
14,8,8549,158
15,7,3249,117
16,7,4154,283
17,8,8609,288
18,8,9838,94
19,8,1605,90
20,7,2673,246
21,7,2250,63
22,7,169,100
23,8,313,65
24,7,7613,86
25,7,5048,27
26,8,9238,245
27,7,7258,173
28,8,7287,88
29,8,8551,175
30,8,6276,76
31,8,3283,191
32,7,4712,170
33,8,2731,291
34,8,425,115
35,8,5316,260
36,7,1781,292
37,8,2672,109
38,7,6297,219
39,8,7701,90
40,7,1746,278
41,8,8438,108
42,8,8180,166
43,7,3489,137
44,7,1031,5
45,7,3855,44
46,7,7838,100
47,7,7459,200
48,8,9745,55
49,8,7916,122
50,7,7020,29
51,7,926,123
52,7,5411,263
53,7,698,46
54,7,3149,207
55,8,4735,238
56,8,5113,274
57,8,4120,150
58,7,8154,141
59,7,326,99
60,7,2916,159
61,7,5825,17
62,7,7354,110
63,7,2952,191
64,7,8216,210
65,8,4160,68
66,8,4255,185
67,8,7727,46
68,8,9045,244
69,8,5329,43
70,7,2512,272
71,7,3388,41
72,8,1290,9
73,8,9103,244
74,7,6640,138
75,7,6539,159
76,8,3062,194
77,7,2429,58
78,8,9374,134
79,7,8498,292
80,7,298,286
81,7,9635,298
82,8,8209,6
83,7,9358,292
84,8,2950,232
85,7,4155,272
86,8,2936,61
87,8,6857,32
88,8,7789,113
89,7,7423,168
90,8,3153,57
91,8,8206,219
92,7,8438,124
93,8,2225,224
94,7,1849,7
95,8,10048,165
96,7,2233,51
97,8,1397,220
98,8,8964,273
99,7,862,154
100,8,5629,17
101,7,4994,188
102,7,5385,287
103,8,5925,113
104,7,9527,152
105,8,5988,266
106,8,4489,254
107,8,4618,43
108,8,159,198
109,8,1043,94
110,8,6748,196
111,8,9461,18
112,8,2974,83
113,7,1062,136
114,7,5870,199
115,7,8322,114
116,7,6907,196
117,7,1378,0
118,7,7086,87
119,8,6139,111
120,7,8157,280
121,7,7911,8
122,8,7585,208
123,7,7480,277
124,7,6711,93
125,8,3494,46
126,8,6639,233
127,7,4268,264
128,8,1443,98
129,7,2947,245
130,8,5358,149
131,7,8873,124
132,8,1957,261
133,8,7763,119
134,7,8696,274
135,8,2676,52
136,7,3922,221
137,8,8345,39
138,7,9601,291
139,7,4840,265
140,7,1585,127
141,8,3969,147
142,8,5155,233
143,8,9505,18
144,7,5455,184
145,7,7502,155
146,7,9312,197
147,7,5513,57
148,7,2794,145
149,8,7177,58
150,8,6732,69
151,8,4610,85
152,8,8928,8
